LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,CGEXP,DEF,PC,A,2007,2.28,
AUT,CGEXP,DEF,PC,A,2008,2.64,
AUT,CGEXP,DEF,PC,A,2009,1.92,
AUT,CGEXP,DEF,PC,A,2010,1.82,
AUT,CGEXP,DEF,PC,A,2011,1.81,
AUT,CGEXP,DEF,PC,A,2012,1.71,
AUT,CGEXP,DEF,PC,A,2013,1.78,
AUT,CGEXP,DEF,PC,A,2014,1.63,
AUT,CGEXP,DEF,PC,A,2015,1.66,
AUT,CGEXP,DEF,PC,A,2016,1.83,
AUT,CGEXP,HEALTH,PC,A,2007,3.36,
AUT,CGEXP,HEALTH,PC,A,2008,3.58,
AUT,CGEXP,HEALTH,PC,A,2009,3.45,
AUT,CGEXP,HEALTH,PC,A,2010,3.79,
AUT,CGEXP,HEALTH,PC,A,2011,3.77,
AUT,CGEXP,HEALTH,PC,A,2012,3.89,
AUT,CGEXP,HEALTH,PC,A,2013,3.74,
AUT,CGEXP,HEALTH,PC,A,2014,3.51,
AUT,CGEXP,HEALTH,PC,A,2015,3.79,
AUT,CGEXP,HEALTH,PC,A,2016,3.98,
AUT,CGEXP,HOUCOMM,PC,A,2007,1.45,
AUT,CGEXP,HOUCOMM,PC,A,2008,1.45,
AUT,CGEXP,HOUCOMM,PC,A,2009,0.2,
AUT,CGEXP,HOUCOMM,PC,A,2010,0.22,
AUT,CGEXP,HOUCOMM,PC,A,2011,0.2,
AUT,CGEXP,HOUCOMM,PC,A,2012,0.17,
AUT,CGEXP,HOUCOMM,PC,A,2013,0.12,
AUT,CGEXP,HOUCOMM,PC,A,2014,0.1,
AUT,CGEXP,HOUCOMM,PC,A,2015,0.13,
AUT,CGEXP,HOUCOMM,PC,A,2016,0.1,
AUT,CGEXP,PUBORD,PC,A,2007,3.44,
AUT,CGEXP,PUBORD,PC,A,2008,3.42,
AUT,CGEXP,PUBORD,PC,A,2009,3.32,
AUT,CGEXP,PUBORD,PC,A,2010,3.38,
AUT,CGEXP,PUBORD,PC,A,2011,3.37,
AUT,CGEXP,PUBORD,PC,A,2012,3.37,
AUT,CGEXP,PUBORD,PC,A,2013,3.29,
AUT,CGEXP,PUBORD,PC,A,2014,3.22,
AUT,CGEXP,PUBORD,PC,A,2015,3.38,
AUT,CGEXP,PUBORD,PC,A,2016,3.52,
BEL,CGEXP,ECOAFF,PC,A,2007,5.83,
BEL,CGEXP,ECOAFF,PC,A,2008,6.46,
BEL,CGEXP,ECOAFF,PC,A,2009,7.01,
BEL,CGEXP,ECOAFF,PC,A,2010,7.57,
BEL,CGEXP,ECOAFF,PC,A,2011,8.39,
BEL,CGEXP,ECOAFF,PC,A,2012,9.66,
BEL,CGEXP,ECOAFF,PC,A,2013,7.84,
BEL,CGEXP,ECOAFF,PC,A,2014,7.59,
BEL,CGEXP,ECOAFF,PC,A,2015,7.28,
BEL,CGEXP,ECOAFF,PC,A,2016,6.93,
BEL,CGEXP,RECULTREL,PC,A,2007,0.28,
BEL,CGEXP,RECULTREL,PC,A,2008,0.26,
BEL,CGEXP,RECULTREL,PC,A,2009,0.27,
BEL,CGEXP,RECULTREL,PC,A,2010,0.26,
BEL,CGEXP,RECULTREL,PC,A,2011,0.24,
BEL,CGEXP,RECULTREL,PC,A,2012,0.24,
BEL,CGEXP,RECULTREL,PC,A,2013,0.23,
BEL,CGEXP,RECULTREL,PC,A,2014,0.25,
BEL,CGEXP,RECULTREL,PC,A,2015,0.24,
BEL,CGEXP,RECULTREL,PC,A,2016,0.23,
CZE,CGEXP,DEF,PC,A,2007,3.66,
CZE,CGEXP,DEF,PC,A,2008,3.45,
CZE,CGEXP,DEF,PC,A,2009,3.15,
CZE,CGEXP,DEF,PC,A,2010,3.05,
CZE,CGEXP,DEF,PC,A,2011,2.8,
CZE,CGEXP,DEF,PC,A,2012,2.45,
CZE,CGEXP,DEF,PC,A,2013,2.4,
CZE,CGEXP,DEF,PC,A,2014,2.26,
CZE,CGEXP,DEF,PC,A,2015,3.01,
CZE,CGEXP,DEF,PC,A,2016,2.48,
CZE,CGEXP,HEALTH,PC,A,2007,9.48,
CZE,CGEXP,HEALTH,PC,A,2008,9.49,
CZE,CGEXP,HEALTH,PC,A,2009,9.7,
CZE,CGEXP,HEALTH,PC,A,2010,10.11,
CZE,CGEXP,HEALTH,PC,A,2011,9.93,
CZE,CGEXP,HEALTH,PC,A,2012,9.45,
CZE,CGEXP,HEALTH,PC,A,2013,9.95,
CZE,CGEXP,HEALTH,PC,A,2014,10.3,
CZE,CGEXP,HEALTH,PC,A,2015,10.4,
CZE,CGEXP,HEALTH,PC,A,2016,10.68,
CZE,CGEXP,HOUCOMM,PC,A,2007,1.94,
CZE,CGEXP,HOUCOMM,PC,A,2008,1.63,
CZE,CGEXP,HOUCOMM,PC,A,2009,1.71,
CZE,CGEXP,HOUCOMM,PC,A,2010,1.78,
CZE,CGEXP,HOUCOMM,PC,A,2011,1.54,
CZE,CGEXP,HOUCOMM,PC,A,2012,0.94,
CZE,CGEXP,HOUCOMM,PC,A,2013,0.83,
CZE,CGEXP,HOUCOMM,PC,A,2014,0.84,
CZE,CGEXP,HOUCOMM,PC,A,2015,0.77,
CZE,CGEXP,HOUCOMM,PC,A,2016,0.7,
CZE,CGEXP,PUBORD,PC,A,2007,5.85,
CZE,CGEXP,PUBORD,PC,A,2008,5.78,
CZE,CGEXP,PUBORD,PC,A,2009,5.62,
CZE,CGEXP,PUBORD,PC,A,2010,5.58,
