LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GBR,-5.189501687,-3.753353877,-2.094308148,-0.328377241,0.638893361,1.379090661,0.227191633,-1.874964073,-3.138242932,-3.064849557,-3.146419846,-2.765328105,-2.636946444,-5.154526281,-10.08006047,-9.291411596,-7.495016862,-8.098950849,-5.367596504,-5.378532176,-4.229209337,-2.932739078,-1.804427649
GBR_s,38.53870361,36.91312683,35.77700898,35.48764273,35.29662767,35.40847173,36.51189126,37.55786352,38.77310885,40.03445928,41.27955079,40.75327,40.89054275,44.38946548,47.27627206,47.55289247,45.91078632,45.71672735,43.94165375,43.00830399,42.21898589,41.35750567,
EST,1.079344717,-0.350753756,2.158064425,-0.764474589,-3.316784981,-0.068062803,0.199244094,0.420641471,1.802758494,2.388835947,1.123216833,2.906438097,2.716910044,-2.666300085,-2.18367712,0.187544171,1.158532773,-0.257598424,-0.170079905,0.685901563,0.068758444,-0.328373195,-0.383652654
EST_s,40.97912108,39.32278438,37.41905729,39.50115458,40.32756896,36.38767108,35.02252476,36.1057028,35.17675571,34.32857177,33.97975098,33.56529248,34.08878841,39.74930337,46.05232956,40.51293847,37.42582825,39.3027172,38.45231998,37.86964218,39.63391687,39.52884571,
SVN,-8.177041998,-1.097023663,-2.310658484,-2.330454466,-2.976869544,-3.639567048,-3.882721155,-2.403430386,-2.618680762,-1.964788504,-1.332895296,-1.204327077,-0.081075104,-1.41315727,-5.840618724,-5.634904811,-6.671915479,-4.043564606,-14.67860741,-5.507581278,-2.842033482,-1.933314914,0.065737687
SVN_s,,,,,45.82355897,46.1411079,46.95124295,45.8305706,45.81341378,45.32131182,44.91432193,44.21746616,42.18869647,43.86948082,48.21675695,49.25876505,50.00054106,48.51659389,59.51662723,49.59712964,47.74018876,45.12470968,
LVA,-1.428006871,-0.420894944,1.413575216,0.028562106,-3.732542619,-2.730834888,-1.948227079,-2.282110979,-1.455198143,-0.919019486,-0.364265315,-0.487783343,-0.512659053,-4.204263151,-9.126877072,-8.685864289,-4.306704886,-1.205632211,-1.159146775,-1.491606269,-1.362810792,0.064662533,-0.576072494
LVA_s,35.61467861,35.4323429,35.13137629,37.92101083,40.84528196,37.25742254,34.77868173,35.1204292,33.39533706,34.67845903,34.17695602,36.0367925,33.98966706,37.64618098,44.17331378,45.50325649,40.47094875,37.96672271,37.72605183,38.29802513,38.45795804,37.18327291,
LTU,-1.546959835,-3.249454636,-11.75343159,-3.032434998,-2.821863659,-3.184716558,-3.526770902,-1.855018511,-1.264227438,-1.392207563,-0.343064782,-0.272093341,-0.815325603,-3.083032403,-9.105645257,-6.900724081,-8.939745385,-3.145495277,-2.609920315,-0.619263165,-0.260218635,0.263324312,0.488731783
LTU_s,34.5787978,36.55729472,50.26995975,41.17967491,40.84233296,39.3946773,37.09142676,35.14702869,33.57869765,34.03593547,34.07899505,34.31051447,35.25577338,38.09093694,44.88832592,42.29889411,42.47288644,36.10230919,35.49292221,34.63859876,34.88201282,34.04677814,
